"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
NA;"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion";"???";"THQ";"Unknown";"";"";"x"
NA;"Adventures of Lolo";"???";"Nintendo";"HAL Laboratory";"";"x";"x"
NA;"The Adventures of Rocky and Bullwinkle and Friends";"???";"THQ";"Unknown";"x";"";"x"
NA;"The Adventures of Star Saver";"???";"Taito";"A Wave";"";"";"x"
NA;"Adventures of Tom Sawyer";"???";"Seta";"Unknown";"x";"";"x"
NA;"Adventures on GX-12";"???";"Telegames";"Unknown";"";"";"x"
NA;"Adventures to Go!";"???";"Natsume";"Unknown";"";"";"x"
NA;"Aedis Eclipse: Generation of Chaos";"???";"NIS America";"Unknown";"x";"";"x"
NA;"Aeon Flux";"???";"Majesco";"Unknown";"";"";"x"
NA;"Aero Blasters";"???";"NEC";"Unknown";"x";"";"x"
NA;"Aero Elite: Combat Academy";"???";"Sega";"Unknown";"x";"";"x"
NA;"Aero Gauge";"???";"ASCII";"Unknown";"";"";"x"
NA;"Aero the Acro-Bat 2";"???";"Sunsoft";"Iguana";"";"";"x"
NA;"Aerofighters Assault";"???";"Video System";"Unknown";"";"";"x"
NA;"Aerostar";"???";"Vic Tokai";"Vic Tokai";"";"";"x"
NA;"AFL Live 2003";"???";"Acclaim";"Unknown";"";"x";"x"
NA;"AFL Live 2004";"???";"Acclaim";"Unknown";"";"x";"x"
NA;"AFL Live: Premiership Edition";"???";"Acclaim";"Unknown";"";"x";"x"
NA;"AFL Premiership 2005";"???";"Sony";"Unknown";"";"x";"x"
NA;"AFL Premiership 2006";"???";"Sony";"Unknown";"";"x";"x"
NA;"AFL Premiership 2007";"???";"Sony";"Unknown";"";"x";"x"
NA;"After Burner: Black Falcon";"???";"Sega";"Unknown";"";"";"x"
NA;"Again: Interactive Crime Novel";"???";"Tecmo";"Unknown";"x";"";"x"
NA;"Agassi Tennis Generation";"???";"DreamCatcher";"Unknown";"";"";"x"
NA;"Agassi Tennis Generation";"???";"DreamCatcher";"Unknown";"";"";"x"
NA;"Age of Empires II: The Age of Kings";"???";"Konami";"Unknown";"";"x";"x"
NA;"Agent Hugo";"???";"ITE Media";"Unknown";"";"x";"x"
NA;"Agent Hugo: Hula Holiday";"???";"NDS Software";"Unknown";"";"x";"x"
NA;"Agent Hugo: Lemoon Twist";"???";"ITE Media";"Unknown";"";"x";"x"
NA;"Agent Hugo: Roborumble";"???";"ITE Media";"Unknown";"";"x";"x"
NA;"Agent Hugo: RoboRumble";"???";"ITE Media";"Unknown";"";"x";"x"
NA;"Aggressive Inline";"???";"Acclaim";"Unknown";"";"";"x"
NA;"Aggressive Inline featuring Taig Khris";"???";"Acclaim";"Unknown";"";"";"x"
NA;"Aidyn Chronicles: The First Mage";"???";"THQ";"Unknown";"";"";"x"
NA;"L'Aigle de Guerre";"???";"Nintendo";"Unknown";"";"x";"x"
NA;"Air Battle";"???";"Philips";"Philips";"";"x";"x"
NA;"Air Buster";"???";"Kaneko";"Unknown";"x";"";"x"
NA;"Air Cavalry";"???";"GameTek";"Synergistic";"";"";"x"
NA;"Air Conflicts: Aces of World War II";"???";"Graffiti Entertainment";"Unknown";"x";"";"x"
NA;"Air Diver";"???";"Seismic";"Unknown";"x";"";"x"
NA;"Air Fortress";"???";"HAL";"HAL";"";"";"x"
NA;"Air Raid";"???";"Men-A-Vision";"Unknown";"x";"";"x"
NA;"Air Raid 3";"???";"Phoenix Games";"Unknown";"";"x";"x"
NA;"Air Raiders";"???";"Telegames";"Unknown";"";"";"x"
NA;"Air Ranger: Rescue Helicopter";"???";"Midas";"Unknown";"";"x";"x"
NA;"Air Zonk";"???";"TTI";"Unknown";"x";"";"x"
NA;"Air-Sea Battle";"???";"Atari";"Unknown";"";"";"x"
NA;"Air-Sea War / Battle";"???";"Philips";"Philips";"";"";"x"
NA;"Air/Sea Battle";"???";"Interton";"Unknown";"";"x";"x"
NA;"Airball";"???";"Atari";"Unknown";"";"";"x"
NA;"Airblade";"???";"Sony";"Unknown";"";"";"x"
